Source page: http://data1.cde.ca.gov/dataquest/API/2003Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,
link,link/_text,link/_title,content,value_1,value_2,value_3,value_4,value_5,value_6
,,,,Students,,2003,2003,2003-,
,,,,Included,2003,State-,Similar,2004,2004
,,,,in the,API,wide,Schools,Growth,API
http://data1.cde.ca.gov/dataquest/API/2003Base_sch.asp?SchCode=6040935&DistCode=75648&AllCds=38756486040935,Edison Charter,,Edison Charter,320,669,3,7,7,676
http://data1.cde.ca.gov/dataquest/API/2003Base_DstApi.asp?cYear=2001-02&cSelect=3810389&cChoice=2003BApiD,SAN FRANCISCO CO. OFF. OF EDUC,,SAN FRANCISCO CO. OFF. OF EDUC,565,369,B,B,B,B
http://data1.cde.ca.gov/dataquest/API/Flag03b3.htm?C=38&D=10389&S=6069561&SN=Special%A0Education&DN=San%A0Francisco%A0Co.%A0Off.%A0of%A0Educ&CN=San%A0Francisco,Special Education,,Special Education,,,,,,
http://data1.cde.ca.gov/dataquest/API/Flag03b3.htm?C=38&D=10389&S=3830395&SN=Alternative/Opportunity&DN=San%A0Francisco%A0Co.%A0Off.%A0of%A0Educ&CN=San%A0Francisco,Alternative/Opportunity,,Alternative/Opportunity,,,,,,
http://data1.cde.ca.gov/dataquest/API/Flag03b3.htm?C=38&D=10389&S=3830361&SN=San%A0Francisco%A0Court&DN=San%A0Francisco%A0Co.%A0Off.%A0of%A0Educ&CN=San%A0Francisco,San Francisco Court,,San Francisco Court,,,,,,
http://data1.cde.ca.gov/dataquest/API/2003Base_DstApi.asp?cYear=2001-02&cSelect=3868478&cChoice=2003BApiD,SAN FRANCISCO UNIFIED,,SAN FRANCISCO UNIFIED,"42,456",706,B,B,B,B
http://data1.cde.ca.gov/dataquest/API/2003Base_sch.asp?SchCode=6040695&DistCode=75648&AllCds=38684786040695,Alamo Elementary,,Alamo Elementary,456,883,10,5,A,A
http://data1.cde.ca.gov/dataquest/API/2003Base_sch.asp?SchCode=6040703&DistCode=75648&AllCds=38684786040703,Alvarado Elementary,,Alvarado Elementary,268,765,7,7,2,767
http://data1.cde.ca.gov/dataquest/API/2003Base_sch.asp?SchCode=6040737&DistCode=75648&AllCds=38684786040737,Argonne Elementary,,Argonne Elementary,249,829,9,4,A,A
http://data1.cde.ca.gov/dataquest/API/2003Base_sch.asp?SchCode=6040778&DistCode=75648&AllCds=38684786040778,Bryant Elementary,,Bryant Elementary,139,623,2,4,9,632
http://data1.cde.ca.gov/dataquest/API/2003Base_sch.asp?SchCode=6072094&DistCode=75648&AllCds=38684786072094,Buena Vista Annex,,Buena Vista Annex,226,681,4,1,6,687
http://data1.cde.ca.gov/dataquest/API/2003Base_sch.asp?SchCode=6040802&DistCode=75648&AllCds=38684786040802,Cabrillo Elementary,,Cabrillo Elementary,183,767,7,3,2,769
